time,P,G(i),H_sun,T2m,WS10m,Int
20230113:0810,719975,336.07,13.3,5.38,1.38,0
20230113:0910,545925,263.22,19.48,8.13,1.17,0
20230113:1010,760200,365.85,23.39,10.36,0.97,0
20230113:1110,1748300,876.27,24.6,11.48,1.1,0
20230113:1210,1175100,568.81,22.93,12.02,1.38,0
20230113:1310,336775,172.47,18.62,12.1,1.52,0
20230113:1410,150425,86.46,12.11,11.97,1.52,0
20230113:1510,729550,346.44,3.94,11.38,1.52,0
20230113:1610,0,0,0,10.48,1.66,0
20230113:1710,0,0,0,9.35,1.59,0
20230113:1810,0,0,0,8.43,1.66,0
20230113:1910,0,0,0,8.45,1.24,0
20230113:2010,0,0,0,8.29,1.03,0
20230113:2110,0,0,0,7.92,1.03,0
20230113:2210,0,0,0,7.34,1.03,0
20230113:2310,0,0,0,6.85,1.24,0
20230114:0010,0,0,0,6.81,1.45,0
20230114:0110,0,0,0,6.51,1.72,0
20230114:0210,0,0,0,6.52,1.66,0
20230114:0310,0,0,0,6.13,1.93,0
20230114:0410,0,0,0,5.95,2.14,0
20230114:0510,0,0,0,6,2.28,0
20230114:0610,0,0,0,5.82,2.55,0
20230114:0710,581325,271.74,5.45,6.57,3.17,0
20230114:0810,729000,340.34,13.4,7.65,3.38,0
20230114:0910,1765250,842.21,19.61,8.98,3.45,0
20230114:1010,1730125,829.85,23.55,10.34,3.59,0
20230114:1110,1987450,971.96,24.77,11.35,3.52,0
20230114:1210,1916350,940.09,23.12,11.95,3.17,0
20230114:1310,1782525,867.32,18.81,12.23,3.24,0
20230114:1410,1513250,725.71,12.3,12.12,3.1,0
20230114:1510,817400,384.9,4.13,11.35,2.55,0
20230114:1610,0,0,0,10.01,2.76,0
20230114:1710,0,0,0,8.77,2.62,0
20230114:1810,0,0,0,7.57,2.34,0
20230114:1910,0,0,0,6.65,2.07,0
20230114:2010,0,0,0,5.84,2.28,0
20230114:2110,0,0,0,5.16,2.14,0
20230114:2210,0,0,0,4.43,1.93,0
20230114:2310,0,0,0,3.68,1.72,0
20230115:0010,0,0,0,3.01,1.66,0
20230115:0110,0,0,0,2.78,1.79,0
20230115:0210,0,0,0,2.95,2,0
20230115:0310,0,0,0,3.47,2.28,0
20230115:0410,0,0,0,4,2.41,0
20230115:0510,0,0,0,4.2,2.34,0
20230115:0610,0,0,0,4.57,2.48,0
20230115:0710,231500,118.72,5.54,4.96,2.48,0
20230115:0810,900500,418.19,13.51,6.78,2.41,0
20230115:0910,1793600,866.35,19.75,9.17,2.62,0
20230115:1010,1699475,817.3,23.71,10.85,3.45,0
20230115:1110,1057800,499.84,24.95,11.79,4.41,0
20230115:1210,318500,163.77,23.32,12.02,5.17,0
20230115:1310,415125,205.83,19.01,11.57,4.97,0
20230115:1410,450925,220.03,12.5,11.25,4.97,0
20230115:1510,335350,166.63,4.32,10.64,4.69,0
20230115:1610,0,0,0,9.9,4.62,0
20230115:1710,0,0,0,9.5,4.55,0
20230115:1810,0,0,0,9.37,4.48,0
20230115:1910,0,0,0,9.88,4.76,0
20230115:2010,0,0,0,9.92,5.03,0
20230115:2110,0,0,0,9.92,5.24,0
20230115:2210,0,0,0,9.81,5.59,0
20230115:2310,0,0,0,9.83,5.93,0
20230116:0010,0,0,0,9.71,6.14,0
20230116:0110,0,0,0,9.9,6.62,0
20230116:0210,0,0,0,10.06,6.83,0
20230116:0310,0,0,0,10.26,6.83,0
20230116:0410,0,0,0,10.52,6.76,0
20230116:0510,0,0,0,10.71,6.55,0
